Geni id,Geni profile name,BH database URL,BH theme,BH floor,BH location,Wikipedia URL
profile-77164914,Art Spiegelman,,Visual Art,,,
profile-34758230630,David Crane,,Cinema & Television,,,
profile-34738829373,Will Eisner,,Visual Art,,,
profile-126530626,Stan Lee,,Visual Art,,,
profile-114519879,Man Ray,,Visual Art,,,
profile-34665719837,Robert Capa,,Visual Art,,,
profile-10823656,Alfred Stieglitz,,Visual Art,,,
profile-34647640427,Erich Lessing,,Visual Art,,,
profile-34665007386,Annie Leibovitz,,Visual Art,,,
profile-113357135,Diane Arbus,,Visual Art,,,
profile-18972273293,Richard Avedon,,Visual Art,,,
profile-34727037352,Amy Sherman-Palladino,,Cinema & Television,,,
profile-84414588,Simon Philip Cowell,,Cinema & Television,,,
profile-34662339646,Jeremy Piven,,Cinema & Television,,,
profile-34758168753,William Shatner,,Cinema & Television,,,
profile-22068911,Aaron Spelling,,Cinema & Television,,,
profile-34662394006,Norman Milton Lear,,Cinema & Television,,,
profile-34625850305,Lorne Michaels,,Cinema & Television,,,
profile-67537457,Michael Orowitz Landon,,Cinema & Television,,,
profile-34624349777,James Lipton,,Cinema & Television,,,
profile-112498828,Matthew Hoffman Weiner,,Cinema & Television,,,
profile-34664051274,Lena Dunham,,Cinema & Television,,,
profile-34650502115,Gary David Goldberg,,Cinema & Television,,,
profile-34718356941,Steven Ronald Bochco,,Cinema & Television,,,
profile-123122958,Ben Elton,,Cinema & Television,,,
profile-34667069512,Garry Shandling,,Cinema & Television,,,
profile-78528961,Rob Reiner,,Cinema & Television,,,
profile-34658199792,Paul Reiser,,Cinema & Television,,,
profile-34691523133,Paul Rudd,,Cinema & Television,,,
profile-34623628511,Seth Aaron Rogen,,Cinema & Television,,,
profile-34657812461,Edward G. Robinson,,Cinema & Television,,,
profile-72290621,Tony Curtis,,Cinema & Television,,,
profile-54634787,Jamie Lee Curtis,,Cinema & Television,,,
profile-8977197293,Harvey Keitel,,Cinema & Television,,,
profile-34658717715,Madeline Kahn,,Cinema & Television,,,
profile-103174266,James Caan,,Cinema & Television,,,
profile-34623120121,Stephen Fry,,Cinema & Television,,,
profile-43985740,Sean Penn,,Cinema & Television,,,
profile-34658942019,James Franco,,Cinema & Television,,,
profile-100575385,Natalie Portman,,Cinema & Television,,,
profile-127768018,Peter Falk,,Cinema & Television,,,
profile-1754308,Gwyneth Paltrow,,Cinema & Television,,,
profile-27825208,Alexander Zeisal 'Zus' Bielski,,The Holocaust,,,
profile-9529749,Simone Signoret,,,,,
profile-26552055293,Adam Sandler,,Cinema & Television,,,
profile-128730958,Ben Stiller,,Cinema & Television,,,
profile-111480857,Leonard Nimoy,,Cinema & Television,,,
profile-30598598,Paul Newman,,Cinema & Television,,,
profile-34666967519,Walter Matthau,,Cinema & Television,,,
profile-127199619,Bette Midler,,Cinema & Television,,,
profile-114346213,Mae West,,Cinema & Television,,,
profile-34757931137,Patrick Drahi,,Press & Media,,,
profile-34681313754,Leslie Howard,,Cinema & Television,,,
profile-29582256,Marilyn Monroe,,Cinema & Television,,,
profile-33322234,Paul (Meshilem Meier) Muni,,Cinema & Television,,,
profile-34664390365,Martin Landau,,Cinema & Television,,,
profile-34058793293,Peter Lorre,,Cinema & Television,,,
profile-93429633,Sir Daniel Day-Lewis,,Cinema & Television,,,
profile-76577118,Dame Elizabeth Taylor,,Cinema & Television,,,
profile-34663472173,Shelley Winters,,Cinema & Television,,,
profile-34654546642,Eli Wallach,,Cinema & Television,,,
