Geni id,Geni profile name,BH database URL,Ushi,BH theme,BH floor,BH location,,Wikipedia URL,Notes,RANDY,,
6000000030570091042,Ruth Gikow,,,Visual Art,3,Art Mix (Led Screens),,יש לה פרופיל בג'ני אבל בויקיפדיה אין דף בעברית עליה. צורפה ל-BH,DONE,,,
6000000008288927936,Sol LeWitt,,"שפות תרבות ואמנות, אמנות, נבזלין",Visual Art,3,Art Mix (Led Screens),,"יש פרופיל בג'ני, הוספתי עברית צורף ל-BH",DONE,,,
6000000094060026924,Sonia Delaunay,,,Visual Art,3,Art Mix (Led Screens),,"יש פרופיל, הוספתי אנגלית, בויקיפדיה אין מאמר עליה בעברית, יתכן שהבעיה בתרגום השם. בקשתי לצרפה ל-BH",DONE,,,
profile-34717339275,El Lissitzky,,"שפות תרבות ואמנות, אמנות, נבזלין",Visual Art,3,Art Mix (Led Screens),,,,,,
profile-34641636809,Micha Ullman,,,Plastic Art,3,Art Mix (Led Screens),,,,,,
6000000034647050309,Brigida Alexander,,,Cinema & Television,3,Breaking Through (Glass walls),,,,,,
profile-34722484545,Wanda Landowska,,,Classical Music,3,Breaking Through (Glass walls),,,,,,
profile-34627835122,Nora Ephron,,,Cinema & Television,3,Breaking Through (Glass walls),,,,,,
6000000008220694086,Alma Rosé,,,Classical Music,3,Breaking Through (Glass walls),,,,,,
6000000010804629257,Ada Maimon,,,Diplomacy,3,Breaking Through (Glass walls),,,,,,
4050456,Adina Bar Shalom,,,Diplomacy,3,Breaking Through (Glass walls),,הוספתי עברית מצורפת ל-BH,DONE,,,
profile-9008074,Ana Pauker,,,Diplomacy,3,Breaking Through (Glass walls),,,,,,
6000000018357241324,Beba Idelson,,,Diplomacy,3,Breaking Through (Glass walls),,,,,,
6000000027307811592,Bella Abzug,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,,,,,
4159595924970027872,Geula Cohen,,,Diplomacy,3,Breaking Through (Glass walls),,"יש פרופיל, שלחתי בקשה לצרפה ל-BH",DONE,,,
6000000024586424941,Hannah Greenebaum Solomon,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,כפול - ישנה כבר ברשימה הישנה,,Old list,,
6000000005021134911,Henrietta Szold,,"נשים פורצות דרך, לייבלים קירות",Diplomacy,3,Breaking Through (Glass walls),,"יש בפורפיל בג'ני, הוספתי בעברית, צורפה ל-BH",DONE,,,
6000000012135415276,Manya Shochat,,,Diplomacy,3,Breaking Through (Glass walls),,יש כבר פרופיל ברשימה הישנה,,Old list,,
6000000003366640314,Naomi Chazan,,,Diplomacy,3,Breaking Through (Glass walls),,"יש בפורפיל בג'ני, הוספתי בעברית, צורפה ל-BH",DONE,,,
6000000011630877749,Rahel Goitein Straus,,,Diplomacy,3,Breaking Through (Glass walls),,"יש פרופיל בג'ני, צורפה ל-BH",,,,
profile-34629512587,Roza Luxemburg,,"נשים פורצות דרך, לייבלים על הקירות ",Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-79852010,Simone Veil,,,Diplomacy,3,Breaking Through (Glass walls),,,,,,
profile-34648625583,Estée Lauder,,"יהודים בתרבות העולם, לייבלים מורחבים",Economics,3,Breaking Through (Glass walls),,,,,,
profile-34644247083,Janet Louise Yellen,,,Economics,3,Breaking Through (Glass walls),,,,,,
profile-9851917,Betty Friedan,,"נשים פורצות דרך, לייבלים קירות",Humanities & Religion,3,Breaking Through (Glass walls),,,,,,
profile-2702671,Hélène Cazès-Bénatar,,"נשים פורצות דרך, לייבלים קירות",Law,3,Breaking Through (Glass walls),,,,,,
6000000015035660668,Lilian Helen Montagu,,,Humanities & Religion,3,Breaking Through (Glass walls),,"יש לה פרופיל, הוספתי עברית, מצורפת ל-BH",DONE,,,
profile-34660080737,Melanie Klein,,,Humanities & Religion,3,Breaking Through (Glass walls),,,,,,
